file,line,line_text
/audit/backend/public/api/notifications.php,157,"header(""Access-Control-Allow-Origin: $origin"");"
/audit/backend/public/api/notifications.php,158,header('Access-Control-Allow-Credentials: true');
/audit/backend/public/api/recruiters.php,42,"header(""Access-Control-Allow-Origin: $origin"");"
/audit/backend/public/api/recruiters.php,43,header('Access-Control-Allow-Credentials: true');
/audit/backend/public/api/send-email.php,49,"header(""Access-Control-Allow-Origin: $origin"");"
/audit/backend/public/api/send-email.php,50,header('Access-Control-Allow-Credentials: true');
/audit/backend/public/api/staff_login.php,35,"header(""Access-Control-Allow-Origin: $origin"");"
/audit/backend/public/api/staff_login.php,36,header('Access-Control-Allow-Credentials: true');
/audit/backend/public/api/update-candidate-profile.php,41,header('Access-Control-Allow-Origin: http://localhost:3002');
/audit/backend/public/api/update-candidate-profile.php,44,header('Access-Control-Allow-Credentials: true');
/audit/backend/public/api/auth/social-login.php,9,header('Access-Control-Allow-Origin: http://localhost:3002');
/audit/backend/public/api/auth/social-login.php,12,header('Access-Control-Allow-Credentials: true');
/audit/backend/public/api/hr/dashboard-stats.php,19,header('Access-Control-Allow-Origin: *');
/audit/backend/public/api/recruiters/assigned-candidates.php,22,header('Access-Control-Allow-Origin: http://localhost:3002');
/audit/backend/public/api/recruiters/assigned-candidates.php,25,header('Access-Control-Allow-Credentials: true');
/audit/backend/public/api/translate/jobs_old.php,12,header('Access-Control-Allow-Origin: *');
